Jane Smith,18000.0,2024-05-15,2025-FEB-15,1.0,18180.0
Dan ,7.0E17,2024-05-15,2025-NOV-25,4.0,7.28E17
Dan Lester,9000000.0,2024-05-15,2026-JUL-21,4.0,9360000.0
pol gone,20005.0,2024-05-17,2026-NOV-13,2.0,20405.1
DL BELARS ,900000.0,2024-05-17,2027-JUL-21,3.0,927000.0
sheldon,20.0,2024-05-17,2028-NOV-13,1.0,20.2
lag ,21.0,2024-05-17,2024-JAN-10,4.0,21.84
heheboyy,2000.0,2024-05-17,2028-JAN-15,2.0,2040.0
Lester Belars,5000.0,2024-05-17,2027-JUL-25,4.0,5200.0
Dan Belars,2000.0,2024-05-17,2027-NOV-20,1.0,2020.0
CJ Ricafrente,7000.0,2024-05-18,2025-FEB-25,2.0,7140.0
